ParcelNumber,CurrentAssessedValue,OBJECTID,st_number,st_name,st_unit,LEGALDESCR,LOTSQFT,neighborhood
290045000,110500,3996,217,4TH ST SW,,LOT,0.0,Barracks Road
280058000,4082100,3997,401-407,E WATER ST,,LOT,9321.84,North Downtown
290209000,290500,3998,618,DICE ST,,LOT,0.0,Lewis Mountain
280101000,1881600,3999,108-10,W SOUTH ST,,LOT,4704.48,Jefferson Park Avenue
290065000,313500,4000,219,5TH ST SW,,LOT,0.0,Barracks Rugby
280051B00,3755800,4001,107-119,5TH ST SE,,LOT 3,7100.28,Starr Hill
290208000,503900,4002,614,DICE ST,,LOT,0.0,Martha Jefferson
290056000,306500,4003,214,5TH ST SW,,LOT,0.0,Lewis Mountain
290044000,38700,4004,221,4TH ST SW,,LOT,0.0,Starr Hill
280102100,3024500,4005,106,W SOUTH ST,,PARCEL 102-B,6011.28,Venable
290064000,354300,4006,221,5TH ST SW,,LOT,0.0,Fry's Spring
290042000,524400,4007,223,4TH ST SW,,LOTS A&B,0.0,The Meadows
290093000,269100,4008,610,DICE ST,,LOT,0.0,10th & Page
290213000,698100,4009,312,7 1/2 ST SW,,LOT 45,0.0,Fifeville
280102000,519000,4010,100,W SOUTH ST,1-A,UNIT 1-A SOUTH ST WEST CONDO,2657.16,Woolen Mills
280102210,267400,4011,100,W SOUTH ST,1-B,UNIT 1-B SOUTH ST WEST CONDO,771.012,Greenbrier
280102220,386700,4012,100,W SOUTH ST,1-C,UNIT 1-C SOUTH ST WEST CONDO,1467.972,Venable
280102230,907200,4013,100,W SOUTH ST,2-A,UNIT 2-A SOUTH ST WEST CONDO,5270.76,Fifeville
280102240,1016500,4014,100,W SOUTH ST,3-A,UNIT 3-A SOUTH ST WEST CONDO,5614.884,Jefferson Park Avenue
280102250,228500,4015,100,W SOUTH ST,,BSMT UNIT-SOUTH ST WEST CONDO,1999.404,Greenbrier
290092000,415600,4016,604,DICE ST,,LOT,0.0,Fry's Spring
290057000,421600,4017,218,5TH ST SW,,LOT,0.0,Woolen Mills
290063000,419800,4018,223,5TH ST SW,,LOT A,0.0,The Meadows
290091000,335400,4019,602,DICE ST,,LOT,0.0,Woolen Mills
290060000,820800,4020,413,DICE ST,,LOT,0.0,Starr Hill
290089000,521100,4021,600,DICE ST,,LOT,0.0,Woolen Mills
290207000,441000,4022,311,6 1/2 ST SW,,LOT,0.0,Woolen Mills
280104000,3739000,4023,100,E SOUTH ST,,LOT,7609.932,10th & Page
290058000,599400,4024,220,5TH ST SW,,LOT,0.0,Barracks Road
290214000,372000,4025,316,7 1/2 ST SW,,LOT 46,0.0,Locust Grove
290040000,257600,4026,227,4TH ST SW,,PT LOT,0.0,Barracks Road
290094000,331700,4027,304-306,6 1/2 ST SW,,LOT,0.0,Starr Hill
290029000,6696000,4028,211,RIDGE ST,,"LOTS 3,4,11,A,B, PT 10&12",52794.72,Barracks Rugby
280060200,272800,4029,400,E WATER ST,A-B,PARCEL C THE KING BLDG CONDO,1106.424,Rose Hill
290103000,410100,4030,598,DICE ST,,LOT 1,0.0,Fry's Spring
2800601A0,245700,4031,410,E WATER ST,100,PARCEL A #100 KING BLD CONDO,2313.036,Fifeville
2800601B0,287900,4032,410,E WATER ST,200,PARCEL A #200 KING BLD CONDO,1507.176,10th & Page
2800601C0,280200,4033,410,E WATER ST,300,PARCEL A #300 KING BLD CONDO,1467.972,Rose Hill
2800601D0,380500,4034,410,E WATER ST,400,PARCEL A #400 KING BLD CONDO,1990.692,Woolen Mills
2800601E0,148200,4035,410,E WATER ST,404,PARCEL A #404 KING BLD CONDO,775.368,Greenbrier
2800601F0,74500,4036,410,E WATER ST,406,PARCEL A #406 KING BLD CONDO,15942.96,Lewis Mountain
2800601G0,320300,4037,414,E WATER ST,900,PARCEL A #900 KING BLD CONDO,1677.06,Starr Hill
2800601H0,324300,4038,410,E WATER ST,500,PARCEL A #500 KING BLD CONDO,1764.18,Woolen Mills
2800601I0,339200,4039,410,E WATER ST,600,PARCEL A #600 KING BLD CONDO,1629.144,Barracks Rugby
2800601J0,329300,4040,410,E WATER ST,700,PARCEL A #700 KING BLD CONDO,1777.248,Starr Hill
2800601K0,1424500,4041,418,E WATER ST,800,PARCEL A #800 KING BLD CONDO,8860.104,Greenbrier
290039000,258800,4042,229,4TH ST SW,,PT LOT,0.0,Venable
290095000,276700,4043,308,6 1/2 ST SW,,LOT,0.0,Rose Hill
290030000,6286600,4044,307,RIDGE ST,,LOTS,92303.64,Locust Grove
280131000,1315300,4045,140,GARRETT ST,,LOT & PARCEL 5-A,13939.2,Fifeville
290062000,434900,4046,222,5TH ST SW,,LOT,0.0,Lewis Mountain
290206000,521800,4047,315,6 1/2 ST SW,,LOT,0.0,Fifeville
290104000,293200,4048,301,5TH ST SW,,LOT,0.0,Johnson Village
290215000,506300,4049,320,7 1/2 ST SW,,LOT 47 FIFE'S ADDITION,0.0,Greenbrier
290102000,369700,4050,306,6TH ST SW,,LOT 2,0.0,Barracks Road
280060000,319800,4051,0,4TH ST SE,,PARCEL B THE KING BLDG CONDO,6969.6,Locust Grove
280144000,643200,4052,214,RIDGE ST,,LOT,5183.64,North Downtown
290090000,540300,4053,309,6TH ST SW,,LOT,0.0,Lewis Mountain
290038000,753700,4054,231,4TH ST SW,,LOT,0.0,Woolen Mills
290061000,463300,4055,224,5TH ST SW,,LOT,0.0,Lewis Mountain
290101000,477800,4056,308,6TH ST SW,,LOT 3,0.0,Fifeville
290205000,525600,4057,319,6 1/2 ST SW,,LOT NORTH SIDE OF 6 1\2 ST,0.0,Fry's Spring
290096000,27600,4058,0,6 1/2 ST SW,,LOT,0.0,Venable
280105000,2451800,4059,310,2ND ST SE,,PT LOT 42,12066.12,Johnson Village
290105000,773400,4060,303,5TH ST SW,,LOT,0.0,Johnson Village
280146000,1300300,4061,218,RIDGE ST,,LOT,9713.88,Starr Hill
290037000,572600,4062,233,4TH ST SW,,LOT,0.0,Fry's Spring
290216000,698300,4063,324,7 1/2 ST SW,,LOT 48 FIFE ADDITION,0.0,Fifeville
290097000,497600,4064,316,6 1/2 ST SW,,LOT & PAR A&B,0.0,North Downtown
290059000,402800,4065,412-1/2,DICE ST,,LOT,0.0,Barracks Rugby
290098000,295400,4066,313,6TH ST SW,,LOT,0.0,Martha Jefferson
290100000,829700,4067,310,6TH ST SW,,LOT 4 & STRIP,0.0,Belmont
290036000,110500,4068,411,DICE ST,,LOT,0.0,Lewis Mountain
290106000,400200,4069,307,5TH ST SW,,LOT,0.0,Barracks Road
280130000,15765400,4070,201,MONTICELLO AVE,,LOTS 5-B & 5-C,67125.96,Venable
280107000,944800,4071,320,2ND ST SE,,LOT,14331.24,Rose Hill
290035000,361600,4072,409,DICE ST,,LOT,0.0,Jefferson Park Avenue
280113000,5634100,4073,303-333,2ND ST SE,,PARCEL A,25953.048,Venable
290113000,624300,4074,302,5TH ST SW,,LOT 1,0.0,Johnson Village
290204000,510900,4075,325,6 1/2 ST SW,,LOT,0.0,North Downtown
290034000,615200,4076,405,DICE ST,,LOT,0.0,North Downtown
290185000,414400,4077,322,6 1/2 ST SW,,LOT 1,0.0,Jefferson Park Avenue
290217000,543000,4078,328,7 1/2 ST SW,,LOT 49 FIFE ADDITION,0.0,Jefferson Park Avenue
290107000,410100,4079,307-1/2,5TH ST SW,,LOT,0.0,Martha Jefferson
290099000,464500,4080,314,6TH ST SW,,LOT,0.0,Lewis Mountain
290114000,573300,4081,416,DICE ST,,LOT 5,0.0,Jefferson Park Avenue
290184000,620000,4082,321,6TH ST SW,,LOT,0.0,Barracks Rugby
280060100,5902300,4083,300,4TH ST SE,,LOTS & STRIP,0.0,Venable
290203000,328900,4084,331,6 1/2 ST SW,,PT LOT 18,0.0,Jefferson Park Avenue
290108000,439800,4085,309,5TH ST SW,,LOT,0.0,North Downtown
290117000,563800,4086,414,DICE ST,,LOT & PARCEL X,0.0,10th & Page
290218000,384800,4087,332,7 1/2 ST SW,,LOT 50 FIFE ADDITION,0.0,Venable
290118000,536400,4088,412,DICE ST,,LOT,0.0,North Downtown
290186000,331600,4089,324,6 1/2 ST SW,,LOT 2,0.0,Venable
290112000,609800,4090,308,5TH ST SW,,LOT 2,0.0,North Downtown
290119000,275800,4091,410,DICE ST,,LOT,0.0,Venable
280245000,4363400,4092,505,GARRETT ST,,PARCEL 1-A,98053.56,Barracks Road
290109000,594800,4093,311,5TH ST SW,,LOT,0.0,Woolen Mills
290122000,435700,4094,406,DICE ST,,PT LOT 5,0.0,10th & Page
290183000,322200,4095,318,6TH ST SW,,PT LOT 12,0.0,10th & Page
290189000,110500,4096,326,6 1/2 ST SW,,LOT 3,0.0,10th & Page
290123000,472900,4097,404,DICE ST,,LOT,0.0,Fifeville
290202000,321900,4098,333,6 1/2 ST SW,,PT LOT 18,0.0,Venable
290187000,438700,4099,325,6TH ST SW,,PT LOT 11,0.0,Martha Jefferson
290219000,489200,4100,336,7 1/2 ST SW,,LOT 51 FIFE ADDITION,0.0,Woolen Mills
290124000,130000,4101,400,DICE ST,,LOT A-1,0.0,Locust Grove
280151000,861600,4102,300,RIDGE ST,,PARCEL 21,10193.04,Barracks Road
290111000,337200,4103,310,5TH ST SW,,LOT 3,0.0,Fry's Spring
290182000,393800,4104,322,6TH ST SW,,LOT,0.0,The Meadows
290190000,466500,4105,328,6 1/2 ST SW,,LOT 4,0.0,Greenbrier
290171000,309900,4106,313,5TH ST SW,,PT LOTS 1 & 2,0.0,Lewis Mountain
290201000,456700,4107,339,6 1/2 ST SW,,PT LOT 19,0.0,North Downtown
290188000,506200,4108,327,6TH ST SW,,LOT A-1,0.0,Belmont
290130000,130000,4109,320,DICE ST,,LOT,0.0,10th & Page
290220000,143000,4110,406,7 1/2 ST SW,,LOT 52 FIFE ESTATE,0.0,Locust Grove
290115000,527600,4111,417,OAK ST,,LOT 6,0.0,The Meadows
290124100,453500,4112,402,DICE ST,,LOT B-1,0.0,Starr Hill
280152000,1603800,4113,304-308,RIDGE ST,,LOT,21257.28,North Downtown
290172000,505600,4114,319,5TH ST SW,,PT LOTS 2 & 3,0.0,Barracks Rugby
290191000,214900,4115,330-332,6 1/2 ST SW,,PT LOT 5,0.0,Locust Grove
280244000,10492300,4116,310-322,4TH ST SE,,PARCEL 1-B & 2,2439360.0,Greenbrier
290131000,245700,4117,318,DICE ST,,LOT,0.0,Venable
290116000,389000,4118,413,OAK ST,,LOT,0.0,10th & Page
290181000,362000,4119,324,6TH ST SW,,PT LOT 15,0.0,North Downtown
290110000,962500,4120,320,5TH ST SW,,LOT 4,0.0,Woolen Mills
290192000,332000,4121,333,6TH ST SW,,LOT X & PARCEL A-2,0.0,Locust Grove
290132000,725400,4122,401,RIDGE ST,,LOT,13590.72,Belmont
290120000,303700,4123,409,OAK ST,,LOT,0.0,Barracks Rugby
290200000,272900,4124,341,6 1/2 ST SW,,PT LOT 19,0.0,Belmont
280163000,451500,4125,211,DICE ST,,LOT 1 OAKMONT,0.0,Rose Hill
290194000,412000,4126,334,6 1/2 ST SW,,LOT 1,0.0,Woolen Mills
290121000,364300,4127,407,OAK ST,,LOT & PARCEL X,0.0,Johnson Village
290173000,308600,4128,401,5TH ST SW,,PT LOT 3,0.0,North Downtown
290195000,110500,4129,336,6 1/2 ST SW,,SUBLOT B,0.0,Johnson Village
280164000,422900,4130,213,DICE ST,,LOT 2 OAKMONT,0.0,Locust Grove
290233200,1139000,4131,701,CHERRY AVE,,LOT,14287.68,The Meadows
290180000,299800,4132,330,6TH ST SW,,PT LOT 15,0.0,Locust Grove
290193000,394000,4133,335,6TH ST SW,,LOT,0.0,Belmont
290125000,294600,4134,313-315,4TH ST SW,,LOT,0.0,Barracks Road
290133000,1141400,4135,405,RIDGE ST,,LOT,0.0,Rose Hill
290221000,372400,4136,410,7 1/2 ST SW,,LOT 54,0.0,The Meadows
290196000,110500,4137,338,6 1/2 ST SW,,SUBLOT A,0.0,Rose Hill
280165000,435000,4138,215,DICE ST,,LOT 3 OAKMONT,0.0,Barracks Rugby
290174000,342800,4139,405,5TH ST SW,,LOT,0.0,Jefferson Park Avenue
290126000,130000,4140,0,OAK ST,,LOT,0.0,10th & Page
290197000,407400,4141,337,6TH ST SW,,LOT 4,0.0,Johnson Village
290199000,413600,4142,342,6 1/2 ST SW,,LOT,0.0,Fry's Spring
290170000,464300,4143,420,OAK ST,,LOT 1,0.0,Locust Grove
280166000,426100,4144,217,DICE ST,,LOT 4 OAKMONT,0.0,Locust Grove
280153000,487600,4145,400,RIDGE ST,,LOT 1,0.0,Martha Jefferson
290175000,345500,4146,407,5TH ST SW,,LOT FRY'S LAND,0.0,Lewis Mountain
290129000,376200,4147,416-418,4TH ST SW,,LOT B,0.0,Jefferson Park Avenue
290128000,233200,4148,415,4TH ST SW,,LOT A,0.0,The Meadows
290134000,471100,4149,407,RIDGE ST,,LOT,0.0,10th & Page
290169000,688600,4150,418,OAK ST,,LOT 2,0.0,Rose Hill
290222000,547500,4151,414,7 1/2 ST SW,,LOTS 55 & 56,0.0,Barracks Road
290198000,329600,4152,339,6TH ST SW,,LOT,0.0,Locust Grove
290233100,1460000,4153,601,CHERRY AVE,,LOT,28357.56,Fry's Spring
280167000,422900,4154,219,DICE ST,,LOT 5 OAKMONT,0.0,Greenbrier
280153100,691000,4155,208,DICE ST,,LOT 2,0.0,Johnson Village
290127000,208400,4156,417,4TH ST SW,,LOT B,0.0,Woolen Mills
290168000,520600,4157,416,OAK ST,,LOT,0.0,The Meadows
290176000,513100,4158,413,5TH ST SW,,LOT 23A,0.0,Starr Hill
290167000,434400,4159,414,OAK ST,,LOT,0.0,Fifeville
290135000,1253300,4160,409,RIDGE ST,,LOT A,0.0,Greenbrier
280168000,447300,4161,221,DICE ST,,LOT 6 OAKMONT,0.0,Starr Hill
290232100,4216800,4162,604,CHERRY AVE,,1.847 ACRES,80455.32,Belmont
290166000,592300,4163,412,OAK ST,,LOT,0.0,Jefferson Park Avenue
280154000,553900,4164,406,RIDGE ST,,LOT,0.0,Locust Grove
290176100,269200,4165,417,5TH ST SW,,LOT 23C,0.0,Barracks Road
290136000,1278200,4166,413,RIDGE ST,,LOT,0.0,Barracks Road
280169000,379700,4167,223,DICE ST,,LOT 7 OAKMONT,0.0,Jefferson Park Avenue
290154000,348300,4168,406,OAK ST,,LOT,0.0,Johnson Village
280162000,430100,4169,210,DICE ST,,LOT 20 OAKMONT,0.0,The Meadows
280161000,419200,4170,401,OAKMONT ST,,LOT 19 OAKMONT,0.0,Fry's Spring
280170000,1092600,4171,225,DICE ST,,LOT 8 OAKMONT,0.0,Locust Grove
290164000,863200,4172,412,5TH ST SW,,LOT,0.0,Venable
290176200,296400,4173,415,5TH ST SW,,LOT 23B,0.0,Locust Grove
290223000,324400,4174,418,7 1/2 ST SW,,LOT A,0.0,Starr Hill
290153000,665400,4175,404,OAK ST,,LOT,0.0,Starr Hill
280155000,688100,4176,408,RIDGE ST,,LOT,0.0,Fry's Spring
290152100,374200,4177,402,OAK ST,,LOT A,0.0,Belmont
290165000,430600,4178,410,OAK ST,,LOT,0.0,Starr Hill
290224000,551000,4179,420,7 1/2 ST SW,,LOT B,0.0,10th & Page
290152000,689100,4180,324,OAK ST,,LOT B,0.0,10th & Page
280174000,387400,4181,400,OAKMONT ST,,LOT 12 OAKMONT,0.0,Johnson Village
280160000,403000,4182,405,OAKMONT ST,,LOT 18 OAKMONT,0.0,Barracks Road
280171000,475300,4183,227,DICE ST,,LOT 9 OAKMONT,0.0,Greenbrier
280218000,16723900,4184,500,1ST ST S,,2.54 AC GARRETT ST PROJECT,0.0,Jefferson Park Avenue
290140000,548700,4185,318,OAK ST,,LOT 3,0.0,Fifeville
280173000,419000,4186,218,DICE ST,,LOT 11 OAKMONT,0.0,Belmont
280156000,703500,4187,410,RIDGE ST,,LOT,8755.56,Woolen Mills
290161000,437300,4188,418,5TH ST SW,,"LOTS 1,2 & 3",0.0,Rose Hill
290139000,329300,4189,312,OAK ST,,LOT 2,0.0,Fry's Spring
290137100,316500,4190,306,OAK ST,A&B,LOT 1-B,0.0,North Downtown
280159000,418500,4191,407,OAKMONT ST,,LOT 17 OAKMONT,0.0,Johnson Village
280195000,6500,4192,225,OAK ST,,LOT & STRIP,90909.72,Jefferson Park Avenue
280157000,384200,4193,412,RIDGE ST,,LOT,8755.56,Barracks Rugby
290178000,2808600,4194,501,CHERRY AVE,,PAR 1,61114.68,Jefferson Park Avenue
290137000,566300,4195,501,RIDGE ST,,LOT 1-A,0.0,Fry's Spring
290141000,923500,4196,507,RIDGE ST,,LOT,0.0,Woolen Mills
290225000,107300,4197,703,ELM ST,,PT LOTS 59 & 60,0.0,Jefferson Park Avenue
280172000,428100,4198,229,DICE ST,,LOT 10 OAKMONT,0.0,Barracks Rugby
280175000,426200,4199,404,OAKMONT ST,,LOT 13 OAKMONT,0.0,Venable
290233300,1142800,4200,600,CHERRY AVE,,LOT A,23086.8,Fry's Spring
290160000,317400,4201,426,5TH ST SW,,"LOTS 4,5,6 & REAR LOT",0.0,Rose Hill
290155000,52300,4202,0,5TH ST SW,,LOT,0.0,Barracks Road
290138000,936800,4203,505,RIDGE ST,,LOT,0.0,Barracks Rugby
280158000,440700,4204,213,OAK ST,,LOT 16 OAKMONT,0.0,The Meadows
280176000,383400,4205,406,OAKMONT ST,,LOT 14 OAKMONT,0.0,Starr Hill
290278000,437700,4206,500,RIDGE ST,,LOT A,0.0,The Meadows
290142000,631700,4207,511,RIDGE ST,,LOT 2,261360.0,Starr Hill
290232200,48800,4208,701,ELM ST,,LOT 2,0.0,Johnson Village
290278100,128700,4209,200,OAK ST,,LOT B,0.0,10th & Page
290159000,424800,4210,428,5TH ST SW,,LOT 7,0.0,Rose Hill
290226300,234400,4211,504,7 1/2 ST SW,,LOT 3,0.0,Venable
290233000,1011000,4212,0,CHERRY AVE,,3.07 ACRES,133729.2,Belmont
290156000,39000,4213,0,5TH ST SW,,LOT,0.0,Venable
290158000,853200,4214,435,CHERRY AVE,,"LOTS 8,9,10,11 & PT 12",12371.04,Lewis Mountain
290226400,234400,4215,506,7 1/2 ST SW,,LOT 4,0.0,Woolen Mills
280177000,294200,4216,217,OAK ST,,SUBLOT A OAKMONT,6185.52,Starr Hill
290143000,569100,4217,515,RIDGE ST,,PT LOT 3,0.0,Rose Hill
290277000,627700,4218,506,RIDGE ST,,RESIDUE,0.0,Venable
290226500,272200,4219,508,7 1/2 ST SW,,LOT 5,0.0,Greenbrier
290144000,820300,4220,517,RIDGE ST,,PT LOT 4,0.0,Jefferson Park Avenue
290226600,213200,4221,510,7 1/2 ST SW,,LOT 6,0.0,10th & Page
290228000,391700,4222,523,7 1/2 ST SW,,LOT C,0.0,Venable
290276000,395500,4223,508,RIDGE ST,,LOT 3,0.0,Martha Jefferson
290234000,9152000,4224,500,CHERRY AVE,,10.721 ACRES,467006.76,Barracks Rugby
290232300,5200,4225,0,ELM ST,,LOT 3,0.0,10th & Page
290274000,489100,4226,512,RIDGE ST,,LOTS 1-6,0.0,North Downtown
290231000,31700,4227,0,ELM ST,,LOT,0.0,Jefferson Park Avenue
290229000,221000,4228,0,7 1/2 ST SW,,"LOTS 65,66 & PT LOT 64",0.0,Lewis Mountain
290232400,25600,4229,0,ELM ST,,LOT 4,0.0,Fifeville
280200000,291700,4230,618,1ST ST S,,LOT 8 BELLS ADDITION,0.0,Martha Jefferson
290273000,617500,4231,516,RIDGE ST,,LOT,0.0,North Downtown
290232000,36600,4232,0,ELM ST,,LOT 5,0.0,Starr Hill
280201000,314800,4233,620,1ST ST S,,LOT 7 BELLS ADDITION,0.0,Greenbrier
280204000,313300,4234,105,OAK ST,,LOTS 12 & 15 BELLS ADDITION,0.0,Rose Hill
290230000,599300,4235,618,7 1/2 ST SW,,LOT 135,0.0,Fry's Spring
280202000,254900,4236,624,1ST ST S,,LOTS 5 & 6 BELLS ADDITION,0.0,Fry's Spring
280203000,278000,4237,702,1ST ST S,,LOT 4 BELLS ADDITION,0.0,Woolen Mills
290232500,29300,4238,0,ELM ST,,LOT 6,0.0,Martha Jefferson
270002000,337600,4239,710,1ST ST S,,LOTS 2 & 3,0.0,Martha Jefferson
270005000,254000,4240,104,OAK ST,,LOT 9  BELLS ADDITION,0.0,10th & Page
270003000,324600,4241,714,1ST ST S,,LOT 1 BELL'S ADDITION,0.0,Lewis Mountain
270004000,303400,4242,716,1ST ST S,,LOT,7884.36,Jefferson Park Avenue
270019001,6695900,4243,715,6TH ST SE,,PARCEL X,115956.72,10th & Page
270008000,276000,4244,720,1ST ST S,,LOTS 2 & 3,16727.04,Fry's Spring
270009000,245700,4245,722,1ST ST S,,LOT 4,0.0,10th & Page
270010000,312200,4246,724,1ST ST S,,LOT 5,4878.72,Fry's Spring
290263000,313600,4247,610,RIDGE ST,,LOT,10193.04,Greenbrier
270011000,454000,4248,734,1ST ST S,,LOT 1,0.0,Belmont
290258000,51000,4249,621,RIDGE ST,,LOT A,9278.28,Fifeville
290259000,491400,4250,625,RIDGE ST,,LOT,7710.12,Greenbrier
290261000,835400,4251,620,RIDGE ST,,LOT,10149.48,The Meadows
270014000,391900,4252,740,1ST ST S,,LOT A,5445.0,North Downtown
290254000,116500,4253,633,RIDGE ST,,LOTS,13721.4,Woolen Mills
290260000,516300,4254,624,RIDGE ST,,LOT,10715.76,10th & Page
270015000,23000,4255,0,1ST ST S,,LOT 1,41774.04,10th & Page
290253000,445800,4256,637,RIDGE ST,,LOT,8232.84,Woolen Mills
270091000,10480100,4257,105,LANKFORD AVE,,PARCELS A & X,210220.56,North Downtown
270036000,443000,4258,915,6TH ST SE,,LOT,21431.52,Martha Jefferson
270034000,420300,4259,905,6TH ST SE,,LOT,7187.4,Johnson Village
270050001,109000,4260,1000,2ND ST SE,,SUBLOT 6-B BK C SEC 1 IX ADDITION,3615.48,Barracks Road
270048000,300800,4261,1001,RAYON ST,,LOT 7 BK C SEC 1 IX ADDITION,5662.8,Jefferson Park Avenue
270035000,419100,4262,909,6TH ST SE,,LOT,6229.08,Belmont
270049000,368100,4263,1003,RAYON ST,,LOT 8 BK C SEC 1 IX ADDITION,6011.28,Fry's Spring
270051000,335000,4264,1004,2ND ST SE,,LOT 5 BK C SEC 1 IX ADDITION,5183.64,Lewis Mountain
270047000,439100,4265,1000,RAYON ST,,LOT 9 BK D SEC 1 IX ADDITION,7492.32,Lewis Mountain
270052000,390500,4266,1005,RAYON ST,,LOT 9 BK C SEC 1 IX ADDITION,6011.28,Woolen Mills
270054000,552700,4267,1006,2ND ST SE,,LOT 4 BK C SEC 1 IX ADDITION,4573.8,Lewis Mountain
270038100,582500,4268,917,6TH ST SE,,LOT 10 BK D SEC 1 IX ADDITION,7056.72,Greenbrier
270046000,386700,4269,1002,RAYON ST,,LOT 8 BK D SEC 1 IX ADDITION,5488.56,10th & Page
270037000,527400,4270,921,6TH ST SE,,LOT 11 BK D SEC 1 IX ADDITION,10933.56,Fry's Spring
270055000,530800,4271,403,ELLIOTT AVE,,LOT 3 BK C SEC 1 IX ADDITION,5488.56,Greenbrier
270053000,322200,4272,1007,RAYON ST,,LOT 10 BK C SEC 1 IX ADDITION,4486.68,Starr Hill
270045000,517200,4273,1004,RAYON ST,,LOT 7 BK D SEC 1 IX ADDITION,9016.92,Woolen Mills
270056000,374900,4274,405,ELLIOTT AVE,,LOT 2 BK C SEC 1 IX ADDITION,5314.32,Barracks Road
270038000,307100,4275,1003,6TH ST SE,,LOT 12 BK D SEC 1 IX ADDITION,6054.84,Barracks Road
270057000,382700,4276,407,ELLIOTT AVE,,LOT 1 BK C SEC 1 IX ADDITION,7013.16,The Meadows
270039000,508400,4277,1007,6TH ST SE,,LOT 13 BK D SEC 1 IX ADDITION,9496.08,The Meadows
270040000,168500,4278,1013,6TH ST SE,,LOT,13372.92,Rose Hill
270060000,363500,4279,404,ELLIOTT AVE,,LOT 6 BK B SEC 1 IX ADDITION,4225.32,Belmont
270044000,613700,4280,501,ELLIOTT AVE,,LOTS 4 & 5 BK D SEC 1 IX ADD,7579.44,Woolen Mills
270059000,267400,4281,406,ELLIOTT AVE,,LOT 7 BK B SEC 1 IX ADDITION,6621.12,Rose Hill
270061000,350800,4282,1104,WARE ST,,LOT 5 BK B SEC 1 IX ADDITION,5009.4,Johnson Village
270043000,398500,4283,505,ELLIOTT AVE,,LOT 3 BK D SEC 1 IX ADDITION,5357.88,North Downtown
270058000,116600,4284,408,ELLIOTT AVE,,LOT 1 BK B SEC 1 IX ADDITION,7710.12,Johnson Village
270041000,306200,4285,1015,6TH ST SE,,LOT 1 BK D SEC 1 IX ADDITION,4530.24,Jefferson Park Avenue
270062000,312400,4286,1106,WARE ST,,LOT 4 BK B SEC 1 IX ADDITION,5052.96,Martha Jefferson
270093000,417400,4287,111,LANKFORD AVE,,LOT A,21692.88,Johnson Village
270042000,342300,4288,1017,6TH ST SE,,LOT 2 BK D SEC 1 IX ADDITION,4443.12,Martha Jefferson
270066000,606600,4289,500,ELLIOTT AVE,,LOT 6 BK A SEC 1 IX ADDITION,6795.36,Jefferson Park Avenue
270064000,366600,4290,1107,RAYON ST,,LOT 2 BK B SEC 1 IX ADDITION,11630.52,North Downtown
270063000,289900,4291,1108,WARE ST,,LOT 3 BK B SEC 1 IX ADDITION,6359.76,Greenbrier
270067000,321400,4292,502,ELLIOTT AVE,,LOT 7 BK A SEC 1 IX ADDITION,5488.56,10th & Page
270068000,354000,4293,504,ELLIOTT AVE,,LOT 4 BK A SEC 1 IX ADDITION,9365.4,Barracks Rugby
270069000,349700,4294,1101,6TH ST SE,,LOT 1 BK A SEC 1 IX ADDITION,5924.16,Woolen Mills
270065000,358800,4295,1106,RAYON ST,,LOT 5 BK A SEC 1 IX ADDITION,9757.44,Woolen Mills
270070000,360200,4296,1103,6TH ST SE,,LOT 2 BK A SEC 1 IX ADDITION,5009.4,The Meadows
270072800,298300,4297,400,ROBINSON PL,,LOT 9 & STRIP,7927.92,Rose Hill
270072700,385200,4298,402,ROBINSON PL,,LOT 8 ROBINSON PLACE,5924.16,10th & Page
270071000,391200,4299,1105,6TH ST SE,,LOT 3 BK A SEC 1 IX ADDITION,5749.92,Barracks Rugby
270072500,460800,4300,1109,RAYON ST,,LOT 6,6664.68,Fifeville
270072600,455100,4301,404,ROBINSON PL,,LOT 7 ROBINSON PLACE,6054.84,Starr Hill
270072200,416400,4302,1107,6TH ST SE,,LOT 3,7100.28,Starr Hill
270072400,339400,4303,1111,RAYON ST,,LOT 5,6185.52,Locust Grove
270073000,445600,4304,501,DRUID AVE,,LOT 8 & STR BK B SEC 2 IX ADD,14331.24,Lewis Mountain
270072300,321700,4305,1113,RAYON ST,,LOT 4,8232.84,Fifeville
270074000,400400,4306,503,DRUID AVE,,LOT 7 BK B SEC 2 IX ADD,6054.84,Fry's Spring
270072100,426300,4307,1109,6TH ST SE,,LOT 2,7100.28,Belmont
270075000,505000,4308,505,DRUID AVE,,LOT 6 BK B SEC 2 IX ADDITION,6054.84,Johnson Village
270076000,419700,4309,507,DRUID AVE,,LOT 5 BK B SEC 2 IX ADDITION,6054.84,Martha Jefferson
270072000,371600,4310,1111,6TH ST SE,,LOT 1,7100.28,Woolen Mills
270077000,409900,4311,509,DRUID AVE,,LOT 4 BK B SEC 2 IX ADDITION,6054.84,Lewis Mountain
270078000,327100,4312,511,DRUID AVE,,LOT 3 BK B SEC 2 IX ADDITION,6054.84,Fry's Spring
270079000,379600,4313,513,DRUID AVE,,LOT 2 BK B SEC 2 IX ADDITION,6054.84,Rose Hill
270080000,355900,4314,515,DRUID AVE,,LOT 1 BK B SEC 2 IX ADDITION,6098.4,Greenbrier
270088000,426300,4315,500,DRUID AVE,,LOT 8 & STR BK A SEC 2 IX ADD,11107.8,Jefferson Park Avenue
